title,company,experience,salary,location,skills,posted,job_url,scraped_at,search_text,extracted_skills,city,salary_min_lpa,salary_max_lpa,salary_mid_lpa,exp_min_yrs,exp_max_yrs,exp_mid_yrs,company_type
Online Data Analyst Tamil,TELUS Digital,0-2 Yrs,Not disclosed,Remote,"Data Analysis, search engines, Data management, online maps, online research, Tamil, Searching, Analysis",2 days ago,https://www.naukri.com/job-listings-online-data-analyst-tamil-telus-international-ai-inc-noida-0-to-2-years-110326926276,2026-04-10 13:01,"Data Analysis, search engines, Data management, online maps, online research, Tamil, Searching, Analysis  Online Data Analyst Tamil",data analysis,Remote,,,,0.0,2.0,1.0,Other
Data Analyst,ti Steps,4-9 Yrs,3.75-8 Lacs PA,Mumbai,"Data Analysis, Tableau, Power Bi, Data Visualization, Data Analytics, SQL, Analytics, Bi",Just now,https://www.naukri.com/job-listings-data-analyst-ti-steps-mumbai-4-to-9-years-100426009560,2026-04-10 13:01,"Data Analysis, Tableau, Power Bi, Data Visualization, Data Analytics, SQL, Analytics, Bi  Data Analyst","data analysis, data visualization, power bi, sql, tableau",Mumbai,3.75,8.0,5.88,4.0,9.0,6.5,Other
Data Analyst / Tableau Specialist,WE Excel Software,3-6 Yrs,Not disclosed,Panchkula,"Bi, Data Analytics, SQL, Data, Data analysis, Tableau, Analytics",1 day ago,https://www.naukri.com/job-listings-data-analyst-tableau-specialist-we-excel-software-panchkula-3-to-6-years-080426032545,2026-04-10 13:01,"Bi, Data Analytics, SQL, Data, Data analysis, Tableau, Analytics  Data Analyst / Tableau Specialist","data analysis, power bi, sql, tableau",Panchkula,,,,3.0,6.0,4.5,Other
Data Analyst,Venus Home Appliances,1-5 Yrs,Not disclosed,Thoothukudi,"Data Analytics, Financial Reporting, Financial Analytics, Power Bi, Forecasting, Analytics, Reporting, Data",1 day ago,https://www.naukri.com/job-listings-data-analyst-venus-home-appliances-p-ltd-thoothukudi-1-to-5-years-080426025294,2026-04-10 13:01,"Data Analytics, Financial Reporting, Financial Analytics, Power Bi, Forecasting, Analytics, Reporting, Data  Data Analyst","data analysis, power bi, reporting",Thoothukudi,,,,1.0,5.0,3.0,Other
Looking For immediate joiners - Lab Data Analyst-Python Programming,IQVIA,0-1 Yrs,Not disclosed,Hybrid - Bengaluru,"PYTHON PROGRAMMING, Pyspark, Logical Approach, Python Data Analytics, Python Data, PYTHON SCRIPTING, Numpy, Logic",1 week ago,https://www.naukri.com/job-listings-looking-for-immediate-joiners-lab-data-analyst-python-programming-iqvia-bengaluru-0-to-1-years-051125000118,2026-04-10 13:01,"PYTHON PROGRAMMING, Pyspark, Logical Approach, Python Data Analytics, Python Data, PYTHON SCRIPTING, Numpy, Logic  Looking For immediate joiners - Lab Data Analyst-Python Programming","data analysis, numpy, python",Bengaluru,,,,0.0,1.0,0.5,Other
Data Analyst,AU Small Finance Bank,2-4 Yrs,Not disclosed,Jaipur,"python, data analytics, data analysis, sas, management skills, credit risk, pyspark, business analysis",2 days ago,https://www.naukri.com/job-listings-data-analyst-au-financiers-india-limited-jaipur-2-to-4-years-070426503019,2026-04-10 13:01,"python, data analytics, data analysis, sas, management skills, credit risk, pyspark, business analysis  Data Analyst","data analysis, python",Jaipur,,,,2.0,4.0,3.0,Other
Data Analyst,Tata Consultancy Services,8-12 Yrs,Not disclosed,Bengaluru,"Data Analytics, Data Analysis, SQL, Analysis, Analytics, Data",2 weeks ago,https://www.naukri.com/job-listings-data-analyst-tata-consultancy-services-bengaluru-8-to-12-years-270326016352,2026-04-10 13:01,"Data Analytics, Data Analysis, SQL, Analysis, Analytics, Data  Data Analyst","data analysis, sql",Bengaluru,,,,8.0,12.0,10.0,Other
Data Analyst - Chennai,Maven Marketing,0-7 Yrs,Not disclosed,Chennai,"database maintenance, python, data analysis, data management, data analytics, problem solving, dashboards, sql",2 weeks ago,https://www.naukri.com/job-listings-data-analyst-chennai-maven-marketing-private-limited-chennai-0-to-7-years-260326501210,2026-04-10 13:01,"database maintenance, python, data analysis, data management, data analytics, problem solving, dashboards, sql  Data Analyst - Chennai","data analysis, problem solving, python, sql",Chennai,,,,0.0,7.0,3.5,Other
Data Analyst,Xebia It Architects,7-12 Yrs,Not disclosed,Hybrid - Bengaluru,"Data Manipulation, Data Validation, Data Quality, Data Profiling, Data Visualization, Data Cleansing, Data Modeling, Advance Sql",2 days ago,https://www.naukri.com/job-listings-data-analyst-xebia-it-architects-bengaluru-7-to-12-years-070426020247,2026-04-10 13:01,"Data Manipulation, Data Validation, Data Quality, Data Profiling, Data Visualization, Data Cleansing, Data Modeling, Advance Sql  Data Analyst","data modeling, data quality, data visualization, sql",Bengaluru,,,,7.0,12.0,9.5,Other
Data Analyst,Careernet,5-7 Yrs,Not disclosed,Bengaluru,"SAS, Reporting & Dashboarding, Data Modeling, SQL Querying, Data Analytics, Analytics, SQL, Reporting",1 week ago,https://www.naukri.com/job-listings-data-analyst-careernet-bengaluru-5-to-7-years-310326037943,2026-04-10 13:01,"SAS, Reporting & Dashboarding, Data Modeling, SQL Querying, Data Analytics, Analytics, SQL, Reporting  Data Analyst","data analysis, data modeling, reporting, sql",Bengaluru,,,,5.0,7.0,6.0,Other
Data Analyst,Tata Consultancy Services,8-13 Yrs,20-35 Lacs PA,"Chennai, Bengaluru","Business Analytics, Data Analysis, Business Analysis, SQL, Analysis, Analytics, Data",1 day ago,https://www.naukri.com/job-listings-data-analyst-tata-consultancy-services-chennai-bengaluru-8-to-13-years-090426031487,2026-04-10 13:02,"Business Analytics, Data Analysis, Business Analysis, SQL, Analysis, Analytics, Data  Data Analyst","data analysis, sql",Chennai,20.0,35.0,27.5,8.0,13.0,10.5,Other
Data Analyst,Iris Tech Sys,0-1 Yrs,2.25-3.5 Lacs PA,Pune(Kothrud),"Sales Lead Generation, Online Lead Generation, Manual Testing, Software testing, Sales, Data analysis, Manual, Generation",1 day ago,https://www.naukri.com/job-listings-data-analyst-iris-tech-sys-pune-0-to-1-years-080426034381,2026-04-10 13:02,"Sales Lead Generation, Online Lead Generation, Manual Testing, Software testing, Sales, Data analysis, Manual, Generation  Data Analyst",data analysis,Pune(Kothrud),2.25,3.5,2.88,0.0,1.0,0.5,Other
Data Analyst,Careernet,1-5 Yrs,Not disclosed,Bengaluru,"Data Analysis, Data Visualization, Data Modeling, Data Warehousing, Databricks, Data Validation, Data Engineering, Dashboard Development",1 day ago,https://www.naukri.com/job-listings-data-analyst-careernet-bengaluru-1-to-5-years-090426024653,2026-04-10 13:02,"Data Analysis, Data Visualization, Data Modeling, Data Warehousing, Databricks, Data Validation, Data Engineering, Dashboard Development  Data Analyst","dashboard, data analysis, data modeling, data visualization, databricks",Bengaluru,,,,1.0,5.0,3.0,Other
Data Analyst,MNC,0-2 Yrs,2.75-5 Lacs PA,"Pimpri-Chinchwad, Pune","Google Sheets, Power Bi, MS Office, SQL, Data Analytics, Large Databases, Google Data Studio, data vis",2 days ago,https://www.naukri.com/job-listings-data-analyst-tele-infotech-pimpri-chinchwad-pune-0-to-2-years-070426038068,2026-04-10 13:02,"Google Sheets, Power Bi, MS Office, SQL, Data Analytics, Large Databases, Google Data Studio, data vis  Data Analyst","data analysis, google sheets, power bi, sql",Pimpri-Chinchwad,2.75,5.0,3.88,0.0,2.0,1.0,Other
Data Analyst BRF,Virtusa,5-7 Yrs,Not disclosed,Bengaluru,"data analyst, python, oracle, data pipelines, databricks, data warehousing, power bi, data engineering",1 day ago,https://www.naukri.com/job-listings-data-analyst-brf-virtusa-consulting-services-pvt-ltd-bengaluru-5-to-7-years-090426909560,2026-04-10 13:02,"data analyst, python, oracle, data pipelines, databricks, data warehousing, power bi, data engineering  Data Analyst BRF","databricks, power bi, python",Bengaluru,,,,5.0,7.0,6.0,Other
Data Analyst,Mercedes Benz,5-10 Yrs,Not disclosed,Bengaluru,"Data Analysis, python, data security, version control, data processing, databricks, power bi, data engineering",1 day ago,https://www.naukri.com/job-listings-data-analyst-mercedes-benz-research-and-development-india-pvt-ltd-bengaluru-5-to-10-years-080426925925,2026-04-10 13:02,"Data Analysis, python, data security, version control, data processing, databricks, power bi, data engineering  Data Analyst","data analysis, databricks, power bi, python",Bengaluru,,,,5.0,10.0,7.5,Other
Data Analyst,Famyshine,2-5 Yrs,Not disclosed,Pune(Narhe),"Operations Research, Marketing Analytics, Statistics, Data Analytics, Operations Analytics, Power Bi, Artificial Intelligence, Machine Learning",2 days ago,https://www.naukri.com/job-listings-data-analyst-famyshine-pune-2-to-5-years-070426018814,2026-04-10 13:02,"Operations Research, Marketing Analytics, Statistics, Data Analytics, Operations Analytics, Power Bi, Artificial Intelligence, Machine Learning  Data Analyst","data analysis, machine learning, power bi, statistics",Pune(Narhe),,,,2.0,5.0,3.5,Other
Data Analyst,Cognizant,5-9 Yrs,Not disclosed,Hyderabad,"Data Analytics, SQL, Data Analysis, Analytics, Data, Analysis",1 week ago,https://www.naukri.com/job-listings-data-analyst-cognizant-hyderabad-5-to-9-years-310326026897,2026-04-10 13:02,"Data Analytics, SQL, Data Analysis, Analytics, Data, Analysis  Data Analyst","data analysis, sql",Hyderabad,,,,5.0,9.0,7.0,IT Services
Data Analyst,Capgemini,4-9 Yrs,Not disclosed,"Hybrid - Chennai, Delhi / NCR, Mumbai (All Areas)","Power Bi, Data Analysis, Data Visualization, Tableau, Data Analytics, SQL, Analytics, Bi",2 weeks ago,https://www.naukri.com/job-listings-data-analyst-capgemini-chennai-delhi-ncr-mumbai-all-areas-4-to-9-years-021225014173,2026-04-10 13:02,"Power Bi, Data Analysis, Data Visualization, Tableau, Data Analytics, SQL, Analytics, Bi  Data Analyst","data analysis, data visualization, power bi, sql, tableau",Chennai,,,,4.0,9.0,6.5,IT Services
Data Analyst,Tata Consultancy Services,1-5 Yrs,Not disclosed,"Gandhinagar, Vadodara","Data Operation, Data Processing, Typing Speed, Back Office Processing, Power Bi, Non Voice Process, Computer Operating, Backend Operations",1 week ago,https://www.naukri.com/job-listings-data-analyst-tata-consultancy-services-gandhinagar-vadodara-1-to-5-years-020426016456,2026-04-10 13:02,"Data Operation, Data Processing, Typing Speed, Back Office Processing, Power Bi, Non Voice Process, Computer Operating, Backend Operations  Data Analyst",power bi,Gandhinagar,,,,1.0,5.0,3.0,Other
Data Analyst,Alexander Mann Solutions,8-13 Yrs,Not disclosed,Pune,"Tableau Reporting, Advanced Excel, Data Analytics, SQL, Python, Tableau, Reporting, Data analysis",3 days ago,https://www.naukri.com/job-listings-data-analyst-ams-pune-8-to-13-years-070426007990,2026-04-10 13:02,"Tableau Reporting, Advanced Excel, Data Analytics, SQL, Python, Tableau, Reporting, Data analysis  Data Analyst","data analysis, excel, python, reporting, sql, tableau",Pune,,,,8.0,13.0,10.5,Other
Data Analyst,EXL,4-9 Yrs,Not disclosed,Gurugram,"Stakeholder Engagement, Automation, Data analysis, Publishing, adobe analytics, power bi, Digital marketing, Performance improvement",1 day ago,https://www.naukri.com/job-listings-data-analyst-exl-services-com-i-pvt-ltd-gurugram-4-to-9-years-090426502475,2026-04-10 13:02,"Stakeholder Engagement, Automation, Data analysis, Publishing, adobe analytics, power bi, Digital marketing, Performance improvement  Data Analyst","data analysis, power bi",Gurugram,,,,4.0,9.0,6.5,Other
Data Analyst,Synechron,2-7 Yrs,Not disclosed,Mumbai,"Data Analyst, Compliance, Power Bi, Finance, Ai, Llm, Machine Learning, Onboarding",1 day ago,https://www.naukri.com/job-listings-data-analyst-synechron-technologies-pvt-ltd-mumbai-2-to-7-years-080426920542,2026-04-10 13:02,"Data Analyst, Compliance, Power Bi, Finance, Ai, Llm, Machine Learning, Onboarding  Data Analyst","machine learning, power bi",Mumbai,,,,2.0,7.0,4.5,Other
Data Analyst,Ashirvad Pipes,2-5 Yrs,Not disclosed,Bengaluru(Electronics City Phase 1),"Sales Mis, Sales Operations, Advanced Excel, Sales Analytics, Operations, Analytics, Sales, MIS",2 days ago,https://www.naukri.com/job-listings-data-analyst-ashirvad-pipes-bengaluru-2-to-5-years-080426018445,2026-04-10 13:02,"Sales Mis, Sales Operations, Advanced Excel, Sales Analytics, Operations, Analytics, Sales, MIS  Data Analyst","data analysis, excel",Bengaluru(Electronics City Phase 1),,,,2.0,5.0,3.5,Other
Data Analyst,Jindal Aluminium,0-2 Yrs,Not disclosed,Bengaluru,"Analytical skills, tableau, Excel, Database management, power bi, Data Analyst, Operations, Data warehousing",2 weeks ago,https://www.naukri.com/job-listings-data-analyst-jindal-aluminium-ltd-bengaluru-0-to-2-years-260326501248,2026-04-10 13:02,"Analytical skills, tableau, Excel, Database management, power bi, Data Analyst, Operations, Data warehousing  Data Analyst","data analysis, excel, power bi, tableau",Bengaluru,,,,0.0,2.0,1.0,Other
Data Analyst,Swastiks Masalas Pickles & Food Products Pvt. Ltd.,2-5 Yrs,4-5 Lacs PA,Bengaluru(Jayanagar),"Power Bi, Data Analysis, Data Visualization, Dashboards, Data Analytics, SQL, Analytics, Analysis",1 week ago,https://www.naukri.com/job-listings-data-analyst-swastiks-masalas-pickles-food-products-pvt-ltd-bengaluru-2-to-5-years-020426030920,2026-04-10 13:02,"Power Bi, Data Analysis, Data Visualization, Dashboards, Data Analytics, SQL, Analytics, Analysis  Data Analyst","data analysis, data visualization, power bi, sql",Bengaluru(Jayanagar),4.0,5.0,4.5,2.0,5.0,3.5,Other
Data Analyst,Fossil Group,3-5 Yrs,Not disclosed,Hybrid - Bengaluru(Brookefield),"Power Bi, SQL, Tableau, Data Analytics, Python, Data, Data analysis, Bi",1 week ago,https://www.naukri.com/job-listings-data-analyst-fossil-group-bengaluru-3-to-5-years-010426027706,2026-04-10 13:02,"Power Bi, SQL, Tableau, Data Analytics, Python, Data, Data analysis, Bi  Data Analyst","data analysis, power bi, python, sql, tableau",Bengaluru(Brookefield),,,,3.0,5.0,4.0,Other
Data Analyst,21K SchoolMindreflex Technologies,1-3 Yrs,Not disclosed,Bengaluru(Indira Nagar),"Power Bi, SQL, Data Management, Data Discrepency, Data Analysis, Tableau, Data Analytics, Governance",1 week ago,https://www.naukri.com/job-listings-data-analyst-21k-schoolmindreflex-technologies-bengaluru-1-to-3-years-010426011050,2026-04-10 13:02,"Power Bi, SQL, Data Management, Data Discrepency, Data Analysis, Tableau, Data Analytics, Governance  Data Analyst","data analysis, power bi, sql, tableau",Bengaluru(Indira Nagar),,,,1.0,3.0,2.0,Other
Analyst - Data Enrichment,eClerx,0-2 Yrs,Not disclosed,Coimbatore,"python, data analysis, consulting, pivot table, dbms, vlookup, data enrichment, specifications",1 day ago,https://www.naukri.com/job-listings-analyst-data-enrichment-eclerx-services-ltd-coimbatore-0-to-2-years-090426024744,2026-04-10 13:02,"python, data analysis, consulting, pivot table, dbms, vlookup, data enrichment, specifications  Analyst - Data Enrichment","data analysis, python",Coimbatore,,,,0.0,2.0,1.0,Other
Data Analyst,Spes Manning,4-8 Yrs,Not disclosed,"Hybrid - Pune, Gurugram, Bengaluru","Pyspark, Data Analysis, SQL, Python, Data Analytics, Data Reporting, Analysis, Analytics",1 week ago,https://www.naukri.com/job-listings-data-analyst-spes-manning-pune-gurugram-bengaluru-4-to-8-years-280326012509,2026-04-10 13:02,"Pyspark, Data Analysis, SQL, Python, Data Analytics, Data Reporting, Analysis, Analytics  Data Analyst","data analysis, python, reporting, sql",Pune,,,,4.0,8.0,6.0,Other
Data Analyst,MNC,3-5 Yrs,12-18 Lacs PA,Remote,"Microsoft Packages, Salesforce, Data Integration, Data Management, Data Analysis, Data Analytics, Stakeholder Management, Data",1 week ago,https://www.naukri.com/job-listings-data-analyst-persol-bengaluru-3-to-5-years-010426019118,2026-04-10 13:02,"Microsoft Packages, Salesforce, Data Integration, Data Management, Data Analysis, Data Analytics, Stakeholder Management, Data  Data Analyst","data analysis, stakeholder management",Remote,12.0,18.0,15.0,3.0,5.0,4.0,Other
Staff Data Analyst (Rocket Growth),Coupang,8-13 Yrs,Not disclosed,Bengaluru,"Usage, E-commerce, data integrity, Data Analyst, data visualization, korean, SQL, Logistics",1 day ago,https://www.naukri.com/job-listings-staff-data-analyst-rocket-growth-coupang-bengaluru-8-to-13-years-080426503600,2026-04-10 13:02,"Usage, E-commerce, data integrity, Data Analyst, data visualization, korean, SQL, Logistics  Staff Data Analyst (Rocket Growth)","data visualization, sql",Bengaluru,,,,8.0,13.0,10.5,Other
Data Informatics Analyst 3,Systechcorp Inc,3-5 Yrs,Not disclosed,Hyderabad,"celonis ems, microsoft 365 tools, Data Analytics, sql, Tools, Data, Analytics, EMS",1 day ago,https://www.naukri.com/job-listings-data-informatics-analyst-3-systechcorp-inc-hyderabad-3-to-5-years-090426006566,2026-04-10 13:02,"celonis ems, microsoft 365 tools, Data Analytics, sql, Tools, Data, Analytics, EMS  Data Informatics Analyst 3","data analysis, sql",Hyderabad,,,,3.0,5.0,4.0,Other
Gcp Data analyst,Sigma Allied Services,6-11 Yrs,Not disclosed,"Hybrid - Hyderabad, Bengaluru","Pyspark, oracle, GCP, Bigquery, Teradata, sql, Data, Data analysis",Few hours ago,https://www.naukri.com/job-listings-gcp-data-analyst-sigma-allied-services-hyderabad-bengaluru-6-to-11-years-100426004490,2026-04-10 13:02,"Pyspark, oracle, GCP, Bigquery, Teradata, sql, Data, Data analysis  Gcp Data analyst","bigquery, data analysis, gcp, sql",Hyderabad,,,,6.0,11.0,8.5,Other
Data Analyst - Tableau,Saven Nova Technologies,8-13 Yrs,Not disclosed,Hybrid - Bengaluru,"Data Analyst, Tableau, SQL data sources, Snowflake, Data, Data analysis, Data Sources, Source",1 day ago,https://www.naukri.com/job-listings-data-analyst-tableau-saven-nova-technologies-bengaluru-8-to-13-years-080426024370,2026-04-10 13:02,"Data Analyst, Tableau, SQL data sources, Snowflake, Data, Data analysis, Data Sources, Source  Data Analyst - Tableau","data analysis, snowflake, sql, tableau",Bengaluru,,,,8.0,13.0,10.5,Other
Data and Legal Analyst,Alphastream Technologies,0-3 Yrs,Not disclosed,Bengaluru,"covenants, Credit Agreement, Corporate Credit, private credit agreements, financial analysts, Equity Research, Data, Analysis",1 day ago,https://www.naukri.com/job-listings-data-and-legal-analyst-alphastream-technologies-bengaluru-0-to-3-years-301025022630,2026-04-10 13:02,"covenants, Credit Agreement, Corporate Credit, private credit agreements, financial analysts, Equity Research, Data, Analysis  Data and Legal Analyst",,Bengaluru,,,,0.0,3.0,1.5,Other
Analyst/Data Analyst - Val Rsch,eClerx,0-4 Yrs,Not disclosed,Coimbatore,"Excel, Analytical, Data Analyst, Management, Operations, Logistics, Analysis, Data analysis",1 week ago,https://www.naukri.com/job-listings-analyst-data-analyst-val-rsch-eclerx-services-ltd-coimbatore-0-to-4-years-010426504191,2026-04-10 13:02,"Excel, Analytical, Data Analyst, Management, Operations, Logistics, Analysis, Data analysis  Analyst/Data Analyst - Val Rsch","data analysis, excel",Coimbatore,,,,0.0,4.0,2.0,Other
Data Analyst,Rohan Builders & Developers,4-8 Yrs,Not disclosed,Nagar,"database maintenance, data analysis, data analytics, data interpretation, design development, data mining, power bi, data collection",1 week ago,https://www.naukri.com/job-listings-data-analyst-rohan-builders-developers-nagar-4-to-8-years-020426504774,2026-04-10 13:02,"database maintenance, data analysis, data analytics, data interpretation, design development, data mining, power bi, data collection  Data Analyst","data analysis, power bi",Nagar,,,,4.0,8.0,6.0,Other
Data Analyst,Exo Edge India,3-7 Yrs,Not disclosed,Mohali,"Financial Reporting, Excel, Power Bi, Financial Analytics, Data Analysis, Advanced Excel, Tableau, Data Analytics",1 week ago,https://www.naukri.com/job-listings-data-analyst-exo-edge-india-mohali-3-to-7-years-300326014813,2026-04-10 13:02,"Financial Reporting, Excel, Power Bi, Financial Analytics, Data Analysis, Advanced Excel, Tableau, Data Analytics  Data Analyst","data analysis, excel, power bi, reporting, tableau",Mohali,,,,3.0,7.0,5.0,Other
Data Analyst,WTW Global Delivery And Solutions,4-8 Yrs,12-17 Lacs PA,"Hybrid - Thane, Navi Mumbai, Mumbai (All Areas)","Power Bi, SQL, Power Bi Dashboards, Data Analytics, Sharepoint, Financial Services, Microsoft Power Bi, Join",1 week ago,https://www.naukri.com/job-listings-data-analyst-wtw-global-delivery-and-solutions-thane-navi-mumbai-mumbai-all-areas-4-to-8-years-020426019269,2026-04-10 13:02,"Power Bi, SQL, Power Bi Dashboards, Data Analytics, Sharepoint, Financial Services, Microsoft Power Bi, Join  Data Analyst","data analysis, power bi, sql",Thane,12.0,17.0,14.5,4.0,8.0,6.0,Other
Data Analyst,Rohan Builders & Developers,4-8 Yrs,Not disclosed,Pune,"database maintenance, data analysis, data analytics, data interpretation, design development, data mining, power bi, data collection",2 weeks ago,https://www.naukri.com/job-listings-data-analyst-rohan-builders-developers-pune-4-to-8-years-260326500439,2026-04-10 13:02,"database maintenance, data analysis, data analytics, data interpretation, design development, data mining, power bi, data collection  Data Analyst","data analysis, power bi",Pune,,,,4.0,8.0,6.0,Other
Data Analyst,Pyramid It Consulting,8-13 Yrs,Not disclosed,Remote,"power bi, Data Analytics, SQL, Python, Artificial Intelligence, AI, Tableau, azure",1 week ago,https://www.naukri.com/job-listings-data-analyst-pyramid-it-consulting-pune-8-to-13-years-200326016941,2026-04-10 13:02,"power bi, Data Analytics, SQL, Python, Artificial Intelligence, AI, Tableau, azure  Data Analyst","azure, data analysis, power bi, python, sql, tableau",Remote,,,,8.0,13.0,10.5,Other
Data Analyst,Equitas Small Finance Bank,5-10 Yrs,Not disclosed,Hybrid - Chennai,"Banking Operations, Analytics, Data analysis, Operations, Data, Banking Operation",1 day ago,https://www.naukri.com/job-listings-data-analyst-equitas-small-finance-bank-chennai-5-to-10-years-090426014813,2026-04-10 13:02,"Banking Operations, Analytics, Data analysis, Operations, Data, Banking Operation  Data Analyst",data analysis,Chennai,,,,5.0,10.0,7.5,Other
